date,description,amount
2025-10-01,Walmart Supercenter,-256.64
2025-12-16,Electric Bill,-125.24
2025-09-15,Rent Payment,-1419.39
2026-05-31,Gas Station,-355.21
2026-04-25,Netflix Subscription,-461.61
2025-08-04,Electric Bill,-297.25
2025-09-04,Uber Ride,-201.04
2026-05-29,Starbucks Coffee,-343.26
2026-02-22,Home Depot,-437.07
2026-01-22,Gym Membership,-22.29
2026-03-31,Apple iTunes,-447.05
2025-12-03,Whole Foods Market,-60.65
2025-12-10,Whole Foods Market,-223.65
2025-12-29,Rent Payment,-2690.82
2026-05-06,Home Depot,-102.48
2025-09-15,Target Store,-414.15
2025-07-09,Hotel Stay,-316.17
2026-01-09,Netflix Subscription,-313.82
2025-09-04,Hotel Stay,-451.46
2025-10-22,Software Subscription,-33.62
2025-08-20,Parking Fee,-342.24
2026-01-04,Internet Service,-122.66
2025-12-27,Starbucks Coffee,-49.41
2026-02-13,Insurance Premium,-301.64
2025-10-10,Chipotle Mexican Grill,-255.14
2025-07-13,Restaurant Dinner,-57.12
2025-07-18,Whole Foods Market,-444.87
2025-08-16,Electric Bill,-78.74
2025-11-25,Electric Bill,-141.4
2026-03-10,Electric Bill,-165.65
2026-05-11,CVS Pharmacy,-239.54
2025-08-25,Uber Ride,-71.9
2026-01-20,Rent Payment,-1236.03
2025-07-22,Gas Station,-80.2
2025-12-01,Shell Gas Station,-186.31
2026-03-01,Rent Payment,-2074.1
2025-07-18,Hotel Stay,-129.34
2026-02-26,Insurance Premium,-451.36
2025-11-03,Insurance Premium,-240.52
2026-04-12,Grocery Store,-127.42
2026-04-21,Target Store,-141.2
2025-07-19,Whole Foods Market,-18.11
2026-03-21,Target Store,-259.4
2025-09-03,Internet Service,-386.25
2025-10-15,Target Store,-145.37
2025-09-18,Dental Cleaning,-266.82
2026-05-15,Parking Fee,-429.25
2025-08-22,Flight Booking,-205.13
2025-11-07,Target Store,-314.88
2026-04-04,Parking Fee,-396.16
2026-04-04,Apple iTunes,-288.35
2026-02-10,Hotel Stay,-291.68
2025-11-12,Dental Cleaning,-37.05
2026-01-22,Shell Gas Station,-389.33
2025-10-24,Parking Fee,-126.26
2026-01-20,Grocery Store,-28.58
2025-07-03,Apple iTunes,-407.79
2025-10-21,Parking Fee,-61.35
2025-07-19,Rent Payment,-2351.96
2026-02-01,Flight Booking,-294.23
2026-01-23,Shell Gas Station,-335.88
2026-02-21,CVS Pharmacy,-69.29
2026-02-07,Gym Membership,-167.46
2025-10-04,Spotify Premium,-24.64
2025-07-07,Amazon Purchase,-110.23
2026-03-13,Apple iTunes,-291.07
2025-08-25,Gas Station,-359.37
2025-12-29,Whole Foods Market,-203.8
2026-01-23,Flight Booking,-477.49
2026-01-16,Home Depot,-183.25
2026-03-09,Insurance Premium,-322.8
2026-04-19,Netflix Subscription,-269.62
2025-09-04,Doctor Visit Copay,-20.28
2025-07-14,Uber Ride,-179.08
2025-10-14,Restaurant Dinner,-287.8
2026-03-08,Home Depot,-173.98
2025-11-23,Walmart Supercenter,-83.45
2025-07-07,Insurance Premium,-270.03
2025-12-28,Netflix Subscription,-55.82
2025-11-18,Internet Service,-206.51
2025-10-18,Uber Ride,-182.69
2026-05-31,Gym Membership,-272.96
2026-02-26,Netflix Subscription,-495.94
2025-09-24,Hotel Stay,-225.62
2026-01-07,Shell Gas Station,-279.1
2026-04-18,Starbucks Coffee,-80.56
2025-08-09,Starbucks Coffee,-372.59
2025-10-12,Target Store,-53.75
2025-12-15,Insurance Premium,-496.92
2026-02-16,Dental Cleaning,-388.24
2025-12-19,Software Subscription,-242.35
2026-01-25,Shell Gas Station,-204.83
2026-01-20,Doctor Visit Copay,-488.26
2025-12-14,CVS Pharmacy,-312.75
2026-02-12,Uber Ride,-460.26
2025-08-14,Uber Ride,-212.72
2026-03-07,Hotel Stay,-93.52
2026-01-16,Insurance Premium,-248
2025-07-20,Gas Station,-103.54
2026-05-23,Doctor Visit Copay,-478.43
2025-08-11,Starbucks Coffee,-154.17
2026-01-23,CVS Pharmacy,-131.48
2025-12-20,Grocery Store,-497.27
2025-10-26,Doctor Visit Copay,-247.45
2026-05-03,Whole Foods Market,-394.56
2026-03-20,Gym Membership,-140.46
2025-07-18,Amazon Purchase,-479.37
2025-08-23,Electric Bill,-245.41
2026-03-16,Spotify Premium,-305.94
2026-05-26,Whole Foods Market,-369.15
2026-02-17,Walmart Supercenter,-6
2025-07-06,Software Subscription,-19.1
2026-04-04,Home Depot,-44.32
2025-09-04,Chipotle Mexican Grill,-497.24
2025-08-30,Doctor Visit Copay,-234.95
2025-10-31,CVS Pharmacy,-168.8
2026-04-17,Payroll Direct Deposit,4637.17
2025-09-10,Rent Payment,-2636.32
2025-08-09,Gym Membership,-235.19
2026-05-05,Amazon Purchase,-462.9
2025-08-10,Internet Service,-199.22
2026-01-27,Hotel Stay,-229.74
2025-08-12,Rent Payment,-1386.64
2026-03-06,CVS Pharmacy,-30.1
2026-04-18,Gym Membership,-50.26
2025-10-24,Uber Ride,-22.14
2025-07-30,Software Subscription,-210.6
2026-05-02,Internet Service,-366.39
2025-10-16,Gas Station,-145.58
2025-08-17,Uber Ride,-414.46
2025-09-08,Gas Station,-317.94
2026-04-24,Netflix Subscription,-107.7
2025-12-24,Uber Ride,-424.34
2025-07-26,Flight Booking,-286.2
2025-12-31,Electric Bill,-479.51
2025-10-10,Internet Service,-494.15
2025-07-10,Flight Booking,-141.8
2026-04-20,Walmart Supercenter,-359.96
2026-05-09,Whole Foods Market,-71.01
2025-09-13,Software Subscription,-450.94
2026-01-26,Rent Payment,-2824.98
2026-03-13,Grocery Store,-29.59
2026-02-08,Internet Service,-69.19
2025-12-31,Gas Station,-254.06
2025-10-12,Starbucks Coffee,-420.71
2026-01-13,Gym Membership,-47.13
2025-09-19,Starbucks Coffee,-108.21
2026-01-17,Uber Ride,-257.46
2026-01-14,Whole Foods Market,-300.11
2026-01-06,Restaurant Dinner,-381.61
2025-11-21,Dental Cleaning,-140.07
2026-02-10,Software Subscription,-284.25
2026-01-26,Gym Membership,-290.05
2025-10-15,CVS Pharmacy,-19.6
2025-09-27,Dental Cleaning,-44.78
2026-02-20,Parking Fee,-465.38
2025-11-15,Insurance Premium,-485.4
2025-11-10,Chipotle Mexican Grill,-493.52
2025-11-06,Hotel Stay,-198.19
2025-07-28,Flight Booking,-466.69
2026-05-05,Rent Payment,-2179.75
2025-07-22,CVS Pharmacy,-126.83
2026-03-31,Spotify Premium,-314.99
2025-07-09,Chipotle Mexican Grill,-474.56
2026-01-14,Internet Service,-487.14
2025-12-18,Netflix Subscription,-225.54
2026-02-27,Payroll Direct Deposit,6000.99
2026-03-19,Gym Membership,-352.47
2026-02-14,Uber Ride,-105.77
2025-10-28,Gym Membership,-496.02
2026-05-26,Whole Foods Market,-376.28
2026-01-12,Restaurant Dinner,-230.08
2025-08-06,Restaurant Dinner,-137.43
2026-04-25,Hotel Stay,-251.29
2025-10-06,Software Subscription,-123.35
2025-07-26,Spotify Premium,-180.92
2025-08-06,Restaurant Dinner,-135.38
2025-07-12,Flight Booking,-374.89
2025-12-19,Hotel Stay,-255.85
2025-12-29,Home Depot,-37.44
2026-01-25,Walmart Supercenter,-317.75
2026-04-01,CVS Pharmacy,-87.7
2025-10-18,Parking Fee,-65.68
2025-10-18,Gym Membership,-302.34
2026-02-26,Internet Service,-475.59
2026-03-09,Electric Bill,-278.35
2026-04-19,Apple iTunes,-86.64
2025-11-24,Target Store,-96.81
2025-11-02,Home Depot,-121.74
2025-09-14,Hotel Stay,-156.16
2026-04-27,Shell Gas Station,-129.62
2025-10-25,Whole Foods Market,-72.21
2026-05-24,Payroll Direct Deposit,3124.08
2026-04-29,Gas Station,-16.75
2025-08-30,Gym Membership,-168.25
2026-03-23,Software Subscription,-53.4
2025-12-19,Flight Booking,-345.04
2026-02-25,Shell Gas Station,-11.95
2025-11-11,Electric Bill,-159.22
2025-11-26,Starbucks Coffee,-183.09
2026-04-06,Apple iTunes,-383.06
2025-07-14,Payroll Direct Deposit,5441.15
2025-11-02,Amazon Purchase,-312.03
2025-08-05,Amazon Purchase,-332.94
2026-04-11,Uber Ride,-52.1
2025-11-17,CVS Pharmacy,-137.8
2026-01-13,Payroll Direct Deposit,3044.96
2025-09-26,Doctor Visit Copay,-478.09
2025-09-09,Shell Gas Station,-317.88
2025-07-01,Rent Payment,-1506.77
2025-10-09,Gym Membership,-87.83
2026-02-08,Flight Booking,-361.18
2025-09-05,Hotel Stay,-252.53
2025-07-05,Walmart Supercenter,-136.81
2026-05-18,Grocery Store,-413.15
2026-04-24,Hotel Stay,-64.16
2026-04-08,Insurance Premium,-378.43
2025-09-12,Doctor Visit Copay,-54.37
2026-02-11,Gas Station,-38.27
2026-01-26,Payroll Direct Deposit,5216.95
2026-04-10,Parking Fee,-151.39
2026-01-06,Grocery Store,-369.32
2025-12-23,Starbucks Coffee,-122.26
2026-05-02,Internet Service,-396.51
2025-07-09,Payroll Direct Deposit,3239.9
2025-07-22,Insurance Premium,-237.68
2026-05-19,Whole Foods Market,-81.19
2025-09-30,Uber Ride,-45.06
2026-03-29,Whole Foods Market,-228.34
2025-07-22,Apple iTunes,-371.44
2025-09-14,Restaurant Dinner,-256.4
2025-10-29,Rent Payment,-1747.86
2025-08-30,Insurance Premium,-167.44
2025-08-08,Grocery Store,-159.51
2026-02-28,Insurance Premium,-371.01
2025-11-25,Starbucks Coffee,-282.13
2026-05-06,Restaurant Dinner,-255.44
2026-03-12,Hotel Stay,-198.28
2026-01-06,Amazon Purchase,-291.07
2026-03-01,Walmart Supercenter,-281.23
2025-09-15,Apple iTunes,-436.08
2026-02-09,Flight Booking,-441.06
2026-05-26,Flight Booking,-454.04
2025-12-13,Electric Bill,-251.14
2026-05-01,Flight Booking,-398.74
2026-03-05,Insurance Premium,-82.46
2025-09-13,Electric Bill,-32.75
2025-12-18,Netflix Subscription,-479.24
2025-09-13,Uber Ride,-462.26
2025-07-01,Parking Fee,-451.44
2026-01-12,Uber Ride,-274.74
2025-11-01,Starbucks Coffee,-20
2026-05-14,Hotel Stay,-137.31
2025-10-09,Electric Bill,-464.73
2026-02-12,Flight Booking,-192.54
2026-05-24,Software Subscription,-302.29
2026-03-27,Restaurant Dinner,-237.22
2025-08-07,Grocery Store,-115.59
2026-02-07,Electric Bill,-364.55
2025-12-25,Electric Bill,-477.73
2025-12-01,Uber Ride,-58.98
2025-07-16,Starbucks Coffee,-419.5
2025-08-16,Parking Fee,-86.21
2025-07-26,Starbucks Coffee,-426.61
2025-10-11,Software Subscription,-6.68
2026-05-12,Parking Fee,-25.13
2026-02-11,Apple iTunes,-289.35
2026-04-24,Whole Foods Market,-248.74
2025-07-22,Payroll Direct Deposit,7051.46
2026-03-31,Shell Gas Station,-436.44
2025-10-23,Apple iTunes,-444.95
2026-02-18,CVS Pharmacy,-119.03
2026-01-23,Home Depot,-293.51
2025-10-23,Target Store,-31.78
2026-01-26,Gas Station,-137.78
2025-07-04,Restaurant Dinner,-101.53
2026-05-17,Spotify Premium,-38.71
2026-04-05,Apple iTunes,-208.97
2026-05-06,Grocery Store,-359.7
2026-02-22,Uber Ride,-54.59
2025-08-24,Netflix Subscription,-383.07
2025-10-17,Apple iTunes,-239.16
2025-11-12,Insurance Premium,-290.41
2025-08-31,Shell Gas Station,-391.74
2025-08-16,Whole Foods Market,-276.72
2026-02-16,Shell Gas Station,-401.17
2025-12-15,Gas Station,-385.08
2025-12-16,Insurance Premium,-496.98
2026-01-22,Gym Membership,-421.3
2025-09-28,Starbucks Coffee,-381.3
2025-10-31,Restaurant Dinner,-427.61
2025-08-13,Internet Service,-7.5
2025-09-30,Spotify Premium,-267.15
2025-07-25,CVS Pharmacy,-477.35
2026-02-06,Uber Ride,-308.34
2026-05-08,Internet Service,-380.31
2025-08-06,Restaurant Dinner,-451.47
2025-08-23,Amazon Purchase,-425.23
2026-02-08,Gym Membership,-214.69
2025-12-11,Gas Station,-311.47
2025-08-05,Spotify Premium,-29.72
2025-10-21,Uber Ride,-151.94
2025-12-01,Rent Payment,-1847.31
2026-04-13,Walmart Supercenter,-370.93
2025-08-25,Gym Membership,-422.12
2025-08-04,Dental Cleaning,-444.3
2026-04-09,Parking Fee,-42.17
2025-10-13,Gym Membership,-436.62
2026-02-12,Apple iTunes,-104.21
2025-10-04,Home Depot,-145.03
2025-08-27,CVS Pharmacy,-311.14
2026-03-20,Parking Fee,-289.62
2026-01-09,Spotify Premium,-212.08
2026-01-07,Flight Booking,-362.62
2026-03-04,Whole Foods Market,-322.3
2025-09-10,Uber Ride,-406.6
2026-03-24,Grocery Store,-418.94
2026-04-14,Restaurant Dinner,-475.26
2025-10-21,Whole Foods Market,-75.73
2025-09-04,Whole Foods Market,-277.5
2026-05-02,Whole Foods Market,-440.16
2025-08-28,Netflix Subscription,-179.68
2026-03-10,Uber Ride,-355.16
2026-05-06,Amazon Purchase,-320.46
2025-12-29,Rent Payment,-1539.16
2025-12-20,Chipotle Mexican Grill,-470.31
2025-11-11,Shell Gas Station,-233.37
2026-01-22,Starbucks Coffee,-18.06
2025-12-02,Rent Payment,-2790.52
2025-07-03,Target Store,-376.15
2025-07-06,Doctor Visit Copay,-261.57
2025-10-29,Software Subscription,-112.21
2026-02-11,Gas Station,-78.48
2025-12-19,Gas Station,-484.81
2025-12-09,CVS Pharmacy,-57.17
2025-12-16,Shell Gas Station,-132.14
2026-02-26,Walmart Supercenter,-28.28
2026-02-13,Gym Membership,-186.55
2026-05-07,Software Subscription,-459.57
2025-12-18,Insurance Premium,-493.51
2025-10-01,Software Subscription,-331.95
2025-11-20,Chipotle Mexican Grill,-293.2
2025-07-10,Chipotle Mexican Grill,-187.12
2025-12-23,Shell Gas Station,-9.55
2026-03-17,Target Store,-244.32
2026-02-26,Grocery Store,-359.93
2025-08-31,Doctor Visit Copay,-54.06
2026-02-22,Target Store,-21.28
2025-07-12,CVS Pharmacy,-44.22
2025-12-29,Gas Station,-18.2
2025-11-21,Chipotle Mexican Grill,-147.65
2026-03-17,Dental Cleaning,-140.77
2025-08-27,Apple iTunes,-297.77
2026-05-10,Amazon Purchase,-326.18
2025-10-17,Gym Membership,-267.57
2025-07-27,CVS Pharmacy,-497.27
2026-04-29,Restaurant Dinner,-118.27
2025-07-02,Software Subscription,-367.82
2026-04-11,Gym Membership,-183.08
2026-05-28,Hotel Stay,-469.03
2025-08-12,Grocery Store,-266.26
2026-04-25,Starbucks Coffee,-199.95
2025-09-11,Starbucks Coffee,-134.38
2025-10-10,Restaurant Dinner,-168.67
2025-08-15,Flight Booking,-6.32
2026-04-13,Electric Bill,-457.5
2026-04-04,Restaurant Dinner,-366.42
2026-04-27,Gym Membership,-227.7
2025-08-22,Home Depot,-326.57
2026-01-18,Amazon Purchase,-9.38
2025-09-07,Apple iTunes,-206.3
2026-04-29,Restaurant Dinner,-352.04
2026-04-17,CVS Pharmacy,-124.75
2025-10-19,Dental Cleaning,-206.43
2025-11-16,Spotify Premium,-9.56
2025-08-14,Grocery Store,-337.25
2025-12-19,Netflix Subscription,-438.02
2025-07-23,Amazon Purchase,-315.43
2026-03-16,Grocery Store,-454.97
2026-02-28,Walmart Supercenter,-496.33
2026-03-17,Payroll Direct Deposit,7570.89
2025-07-18,Parking Fee,-40.19
2026-04-26,Software Subscription,-74.31
2025-11-29,CVS Pharmacy,-227.52
2026-05-26,CVS Pharmacy,-381.03
2025-10-28,Rent Payment,-2175.93
2026-04-24,Insurance Premium,-47.8
2025-11-01,Internet Service,-325.2
2025-12-14,CVS Pharmacy,-204.91
2026-05-26,Parking Fee,-114.93
2025-11-10,Internet Service,-472.29
2025-08-20,Home Depot,-320.79
2026-05-07,Internet Service,-219.24
2025-09-16,Spotify Premium,-162.7
2025-12-10,Internet Service,-257.53
2026-01-30,Electric Bill,-109.26
2026-03-25,Hotel Stay,-23.36
2025-10-08,Gym Membership,-45.01
2026-04-15,Payroll Direct Deposit,5263.14
2026-04-28,Rent Payment,-2094.03
2026-01-22,Internet Service,-259.08
2026-01-11,Home Depot,-457.72
2026-02-09,Grocery Store,-452.78
2025-10-31,Flight Booking,-102.89
2026-02-21,Dental Cleaning,-119.01
2025-12-18,Payroll Direct Deposit,6831.1
2025-09-22,Starbucks Coffee,-373.05
2025-11-17,Doctor Visit Copay,-84.36
2025-10-03,Amazon Purchase,-478.81
2025-08-27,CVS Pharmacy,-301.89
2026-01-23,Chipotle Mexican Grill,-478.12
2025-08-11,Software Subscription,-369.06
2025-07-23,Home Depot,-378.81
2025-12-26,Uber Ride,-453.09
2026-05-08,Target Store,-255.52
2026-02-21,Software Subscription,-499.83
2025-11-14,Flight Booking,-239.7
2025-12-06,Doctor Visit Copay,-422.05
2025-10-19,Insurance Premium,-40.59
2026-02-18,Software Subscription,-278.51
2025-10-18,Dental Cleaning,-346.36
2025-12-18,Whole Foods Market,-332.91
2026-01-16,Chipotle Mexican Grill,-382.36
2026-03-03,Uber Ride,-288.87
2025-08-21,Software Subscription,-420.85
2025-12-24,Software Subscription,-102.16
2026-01-12,Amazon Purchase,-352.11
2025-10-12,Dental Cleaning,-94.93
2025-10-27,Rent Payment,-2389.61
2026-01-03,Spotify Premium,-192.85
2025-09-14,Grocery Store,-142.24
2026-04-10,Target Store,-202.19
2026-05-23,Shell Gas Station,-177.62
2025-08-27,Rent Payment,-2872.9
2026-04-05,Home Depot,-302.07
2025-07-08,Insurance Premium,-368.33
2026-02-21,Dental Cleaning,-168.01
2026-04-01,Insurance Premium,-164.98
2026-04-16,Home Depot,-448.6
2025-09-18,Spotify Premium,-158.39
2026-04-08,Chipotle Mexican Grill,-360.79
2025-07-22,Gym Membership,-18.2
2026-04-21,Chipotle Mexican Grill,-77.78
2026-03-13,Dental Cleaning,-57.7
2026-02-10,Flight Booking,-181.05
2025-11-21,Target Store,-321.07
2025-09-28,Starbucks Coffee,-449.52
2025-09-25,Shell Gas Station,-396.99
2026-01-08,Parking Fee,-133.93
2025-10-16,Dental Cleaning,-343.59
2026-01-10,Shell Gas Station,-477.78
2026-04-19,CVS Pharmacy,-74.25
2026-05-01,Rent Payment,-2680.65
2025-10-04,Grocery Store,-449.75
2026-02-21,Gym Membership,-279.78
2025-12-09,Target Store,-254.85
2025-09-16,Shell Gas Station,-362.08
2026-02-18,Restaurant Dinner,-6.74
2026-04-16,Doctor Visit Copay,-189.03
2025-09-09,Chipotle Mexican Grill,-180.21
2026-01-07,Target Store,-362.65
2026-03-07,Electric Bill,-285.04
2025-11-21,Parking Fee,-18.81
2026-02-11,Internet Service,-208.91
2026-01-11,Home Depot,-206.37
2026-01-31,Electric Bill,-70.86
2026-04-13,Walmart Supercenter,-309.61
2025-08-18,Electric Bill,-245
2025-09-06,Target Store,-435.55
2026-01-31,Electric Bill,-187.95
2026-01-28,Amazon Purchase,-174.11
2025-08-29,Electric Bill,-109.33
2025-07-04,Apple iTunes,-363.53
2026-02-16,Software Subscription,-19.62
2026-05-08,CVS Pharmacy,-498.45
2026-05-27,Chipotle Mexican Grill,-84.34
2026-04-13,Hotel Stay,-290.91
2025-09-17,CVS Pharmacy,-252.99
2026-04-28,Insurance Premium,-324.55
2025-10-29,Target Store,-388.03
2025-12-25,Target Store,-174.57
2026-05-11,Rent Payment,-2613.89
2026-04-17,Gas Station,-462.86
2026-02-11,Walmart Supercenter,-122.06
2025-08-20,Flight Booking,-54.81
2026-05-23,Shell Gas Station,-178.41
2025-11-27,Hotel Stay,-172.26
2025-07-23,Parking Fee,-207.38
2026-02-01,Whole Foods Market,-437.46
2026-01-31,Electric Bill,-96.19
2026-01-07,Restaurant Dinner,-303.8
2026-03-28,Starbucks Coffee,-168.9
2025-09-21,Uber Ride,-210.2
2025-09-15,Insurance Premium,-172.01
2026-02-13,Apple iTunes,-268.23
2025-10-08,Netflix Subscription,-111.77
2025-09-11,Shell Gas Station,-422.84
2025-08-11,Payroll Direct Deposit,4323.1
2026-05-04,Doctor Visit Copay,-92.42
2025-10-14,Dental Cleaning,-296.22
2026-05-18,Home Depot,-263.13
2025-10-10,Grocery Store,-393.77
2026-04-23,Starbucks Coffee,-150.95
2025-12-16,Doctor Visit Copay,-388.52
2026-02-26,Target Store,-464.54
2026-01-25,CVS Pharmacy,-200.8
2026-03-19,Hotel Stay,-379.46
2025-10-17,Software Subscription,-58.59
2025-12-12,Restaurant Dinner,-146.93
2025-12-03,Software Subscription,-74.53
2025-07-12,Parking Fee,-423.27
2025-09-21,Rent Payment,-2938.53
2025-10-30,Internet Service,-236.91
2026-02-06,Spotify Premium,-479.55
2025-09-12,Walmart Supercenter,-220.05
2025-07-29,Internet Service,-235.51
2025-12-10,Dental Cleaning,-235.69
2026-03-06,Flight Booking,-441.81
2025-07-15,Gas Station,-89.98
2025-08-17,CVS Pharmacy,-192.3
2025-07-27,Whole Foods Market,-334.28
2025-08-01,Doctor Visit Copay,-339.77
2025-11-12,Flight Booking,-427.25
2026-05-16,CVS Pharmacy,-27.72
2025-11-13,Gym Membership,-9.26
2026-03-04,Grocery Store,-377.14
2026-05-27,Shell Gas Station,-406.59
2025-09-17,CVS Pharmacy,-490.86
2025-10-25,Gym Membership,-338.57
2025-07-05,Insurance Premium,-387.67
2026-04-02,Home Depot,-5.11
2026-04-01,Grocery Store,-429.88
2025-11-22,Chipotle Mexican Grill,-220.88
2026-03-11,Gas Station,-110.7
2025-07-18,Insurance Premium,-244.08
2025-10-21,Home Depot,-477.41
2025-10-03,Starbucks Coffee,-210.86
2025-07-05,Flight Booking,-367.41
2026-03-16,Flight Booking,-352.65
2025-12-11,Gym Membership,-81.32
2025-10-31,Walmart Supercenter,-40.8
2026-04-29,Doctor Visit Copay,-89.4
2025-10-10,Netflix Subscription,-220.61
2026-05-09,Uber Ride,-43.09
2025-12-24,Doctor Visit Copay,-495.01
2026-01-15,Walmart Supercenter,-77.12
2025-09-02,Software Subscription,-214.32
2026-04-18,CVS Pharmacy,-101.14
2025-09-25,Amazon Purchase,-412.04
2025-07-15,Hotel Stay,-15.46
2025-12-11,Grocery Store,-293.16
2026-02-05,Target Store,-249.62
2026-04-17,Starbucks Coffee,-442.14
2026-02-15,Walmart Supercenter,-378.04
2025-10-16,Chipotle Mexican Grill,-156.88
2025-07-04,Spotify Premium,-116.12
2026-03-04,Doctor Visit Copay,-181.1
2026-03-02,Target Store,-73.24
2025-12-07,Software Subscription,-366.67
2025-12-08,Whole Foods Market,-271.68
2026-01-11,Chipotle Mexican Grill,-468.44
2026-01-17,Electric Bill,-178.86
2026-04-19,Electric Bill,-140.03
2025-10-19,Chipotle Mexican Grill,-351.23
2025-09-25,Target Store,-304.49
2025-12-10,Rent Payment,-2966.03
2025-07-23,Netflix Subscription,-123.85
2025-08-02,Walmart Supercenter,-433.68
2026-05-15,Target Store,-183.76
2026-03-29,Software Subscription,-143.56
2025-12-15,Home Depot,-263.65
2026-01-08,Dental Cleaning,-211.37
2026-03-07,CVS Pharmacy,-28.04
2025-07-29,Netflix Subscription,-493.89
2025-09-15,Starbucks Coffee,-426.1
2025-08-30,Uber Ride,-345.51
2025-12-03,Grocery Store,-372.14
2025-11-19,Electric Bill,-340.33
2026-04-15,Whole Foods Market,-58.14
2025-10-17,Flight Booking,-51.37
2025-10-25,Gym Membership,-328
2026-02-19,Chipotle Mexican Grill,-262.21
2025-07-22,Netflix Subscription,-372.71
2025-11-20,Apple iTunes,-174.81
2026-01-26,Whole Foods Market,-233.23
2025-10-02,Shell Gas Station,-300.46
2026-01-20,Chipotle Mexican Grill,-140.87
2025-08-27,Starbucks Coffee,-462.51
2025-10-07,Electric Bill,-381.72
2026-05-31,Dental Cleaning,-439.89
2026-05-30,Electric Bill,-238.49
2026-01-29,Hotel Stay,-229.19
2025-11-12,Electric Bill,-176.23
2026-05-17,Insurance Premium,-494.03
2026-05-30,Hotel Stay,-223.39
2026-03-21,Rent Payment,-1857.54
2025-07-12,Spotify Premium,-27.85
2026-02-19,Spotify Premium,-82.9
2025-07-03,Uber Ride,-300.69
2025-09-06,Electric Bill,-360.17
2026-02-18,Dental Cleaning,-367.95
2025-08-31,Uber Ride,-331.63
2026-05-30,Flight Booking,-164.33
2025-12-22,Walmart Supercenter,-223.56
2025-09-08,Flight Booking,-342.09
2025-07-10,Gym Membership,-346.02
2026-05-10,Internet Service,-105.83
2026-03-15,Target Store,-83.18
2025-11-28,Starbucks Coffee,-79.57
2025-11-15,Grocery Store,-241.96
2025-07-30,Flight Booking,-258.15
2025-10-17,Uber Ride,-381.02
2025-07-25,Netflix Subscription,-156.68
2025-08-20,Apple iTunes,-33.01
2025-08-10,Parking Fee,-173.45
2026-05-12,Restaurant Dinner,-456.14
